/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BABADA1 (1928-1955), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926358 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.900000 * LONGITUDE: -6.962500
	DATE/TIME START: 1928-09-01T00:00:00 * DATE/TIME END: 1955-12-31T00:00:00
Event(s):	BABADA1 * LATITUDE: 38.900000 * LONGITUDE: -6.962500 * LOCATION: Badajoz, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 7am
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 1pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean
	Sunshine duration [min] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: calculated from hours and minutes
	Sunshine duration, daily [h/day] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
Size:	56002 data points
*/
Date/Time	N [tenths] (at 7am)	N [tenths] (at 1pm)	N [tenths] (at 6pm)	N [tenths] (mean)	SSD [min] (calculated from hours and min...)	SSD [h/day]
1941-05-12	4	6	9	6.33	610	10.17
1941-05-13	2	0	1	1.00	780	13.00
1941-05-14	1	1	1	1.00	810	13.50
1941-05-15	1	3	7	3.67	740	12.33
1941-05-16	1	8	9	6.00	600	10.00
1941-05-17	10	10	9	9.67	90	1.50
1941-05-18	9	4	8	7.00	620	10.33
1941-05-19	10	9	7	8.67	450	7.50
1941-05-20	8	8	9	8.33	590	9.83
1941-05-21	1	4	4	3.00	810	13.50
1941-05-22	0	5	1	2.00	810	13.50
1941-05-23	8	9	1	6.00	690	11.50
1941-05-24	2	2	4	2.67	750	12.50
1941-05-25	1	6	9	5.33	620	10.33
1941-05-26	10	8	3	7.00	580	9.67
1941-05-27	3	9	10	7.33	380	6.33
1941-05-28	1	9	8	6.00	660	11.00
1941-05-29	1	9	9	6.33	340	5.67
1941-05-30	1	6	3	3.33	790	13.17
1941-05-31	8	9	10	9.00	410	6.83
1941-06-01	0	9	5	4.67	610	10.17
1941-06-02	9	7	6	7.33	580	9.67
1941-06-03	4	3	8	5.00	700	11.67
1941-06-04	9	9	3	7.00	640	10.67
1941-06-05	9	1	4	4.67	740	12.33
1941-06-06	8	5	5	6.00	750	12.50
1941-06-07	7	10	7	8.00	560	9.33
1941-06-08	9	6	10	8.33	210	3.50
1941-06-09	5	9	8	7.33	500	8.33
1941-06-10	2	7	1	3.33	820	13.67
1941-06-11	0	0	2	0.67	850	14.17
1941-06-12	1	3	8	4.00	750	12.50
1941-06-13	8	2	6	5.33	810	13.50
1941-06-14	0	1	0	0.33	860	14.33
1941-06-15	0	0	0	0.00	860	14.33
1941-06-16	0	0	0	0.00	860	14.33
1941-06-17	0	0	0	0.00	840	14.00
1941-06-18	0	0	4	1.33	820	13.67
1941-06-19	1	7	1	3.00	820	13.67
1941-06-20	5	1	0	2.00	750	12.50
1941-06-21	0	5	9	4.67	730	12.17
1941-06-22	9	4	1	4.67	820	13.67
1941-06-23	0	0	1	0.33	830	13.83
1941-06-24	1	1	1	1.00	850	14.17
1941-06-25	0	2	1	1.00	850	14.17
1941-06-26	0	1	1	0.67	850	14.17
1941-06-27	2	3	4	3.00	830	13.83
1941-06-28	2	2	2	2.00	740	12.33
1941-06-29	10	7	6	7.67	450	7.50
1941-06-30	10	2	2	4.67	650	10.83
1941-07-01	1	2	7	3.33	830	13.83
1941-07-02	4	1	6	3.67	710	11.83
1941-07-03	3	5	9	5.67	710	11.83
1941-07-04	4	4	10	6.00	580	9.67
1941-07-05	3	8	10	7.00	450	7.50
1941-07-06	0	1	5	2.00	820	13.67
1941-07-07	0	3	4	2.33	810	13.50
1941-07-08	10	7	5	7.33	410	6.83
1941-07-09	10	6	9	8.33	430	7.17
1941-07-10	8	7	3	6.00	620	10.33
1941-07-11	9	7	10	8.67	500	8.33
1941-07-12	3	8	2	4.33	770	12.83
1941-07-13	1	5	8	4.67	610	10.17
1941-07-14	5	9	7	7.00	620	10.33
1941-07-15	2	4	7	4.33	800	13.33
1941-07-16	0	0	1	0.33	860	14.33
1941-07-17	0	0	0	0.00	850	14.17
1941-07-18	0	0	0	0.00	840	14.00
1941-07-19	0	0	0	0.00	820	13.67
1941-07-20	0	0	0	0.00	820	13.67
1941-07-21	1	10	6	5.67	690	11.50
1941-07-22	10	10	6	8.67	500	8.33
1941-07-23	9	10	10	9.67	360	6.00
1941-07-24	9	8	6	7.67	410	6.83
1941-07-25	5	3	2	3.33	760	12.67
1941-07-26	3	1	0	1.33	840	14.00
1941-07-27	0	0	0	0.00	830	13.83
1941-07-28	0	1	1	0.67	810	13.50
1941-07-29	0	1	1	0.67	830	13.83
1941-07-30	0	0	0	0.00	820	13.67
1941-07-31	0	1	2	1.00	820	13.67
1941-08-01	10	8	6	8.00	460	7.67
1941-08-02	1	4	3	2.67	800	13.33
1941-08-03	0	3	2	1.67	820	13.67
1941-08-04	0	0	0	0.00	820	13.67
1941-08-05	1	1	1	1.00	810	13.50
1941-08-06	0	0	0	0.00	810	13.50
1941-08-07	0	0	0	0.00	800	13.33
1941-08-08	0	0	0	0.00	810	13.50
1941-08-09	0	0	0	0.00	810	13.50
1941-08-10	0	1	0	0.33	800	13.33
1941-08-11	0	0	1	0.33	740	12.33
1941-08-12	0	1	0	0.33	760	12.67
1941-08-13	0	0	0	0.00	790	13.17
1941-08-14	0	0	0	0.00	770	12.83
1941-08-15	0	0	7	2.33	730	12.17
1941-08-16	9	1	0	3.33	610	10.17
1941-08-17	0	1	4	1.67	760	12.67
1941-08-18	5	4	2	3.67	630	10.50
1941-08-19	2	1	3	2.00	720	12.00
1941-08-20	0	4	1	1.67	770	12.83
1941-08-21	0	0	0	0.00	760	12.67
1941-08-22	0	1	8	3.00	710	11.83
1941-08-23	0	0	0	0.00	700	11.67
1941-08-24	0	7	10	5.67	410	6.83
1941-08-25	9	10	4	7.67	310	5.17
1941-08-26	9	3	1	4.33	520	8.67
1941-08-27	1	0	0	0.33	750	12.50
1941-08-28	1	4	0	1.67	710	11.83
1941-08-29	0	1	1	0.67	720	12.00
1941-08-30	1	1	0	0.67	730	12.17
1941-08-31	0	0	0	0.00	730	12.17
1941-09-01	0	1	1	0.67	600	10.00
1941-09-02	0	1	1	0.67	600	10.00
1941-09-03	1	1	1	1.00	580	9.67
1941-09-04	0	0	1	0.33	580	9.67
1941-09-05	0	0	1	0.33	580	9.67
1941-09-06	3	2	0	1.67	600	10.00
1941-09-07	0	0	0	0.00	610	10.17
1941-09-08	1	4	2	2.33	630	10.50
1941-09-09	2	6	7	5.00	470	7.83
1941-09-10	4	5	8	5.67	580	9.67
1941-09-11	7	4	3	4.67	570	9.50
1941-09-12	0	3	4	2.33	630	10.50
1941-09-13	4	3	4	3.67	520	8.67
1941-09-14	3	1	4	2.67	580	9.67
1941-09-15	0	3	2	1.67	580	9.67
1941-09-16	0	1	1	0.67	560	9.33
1941-09-17	1	2	6	3.00	540	9.00
1941-09-18	0	1	9	3.33	470	7.83
1941-09-19	10	7	8	8.33	350	5.83
1941-09-20	7	7	8	7.33	440	7.33
1941-09-21	10	10	9	9.67	60	1.00
1941-09-22	10	10	9	9.67	10	0.17
1941-09-23	6	8	7	7.00	250	4.17
1941-09-24	8	10	10	9.33	240	4.00
1941-09-25	2	5	3	3.33	500	8.33
1941-09-26	3	4	2	3.00	530	8.83
1941-09-27	4	4	4	4.00	540	9.00
1941-09-28	10	10	10	10.00	160	2.67
1941-09-29	5	10	8	7.67	490	8.17
1941-09-30	10	10	7	9.00	540	9.00
1941-10-01	4	1	0	1.67	580	9.67
1941-10-02	1	3	1	1.67	580	9.67
1941-10-03	1	2	2	1.67	560	9.33
1941-10-04	7	8	6	7.00	380	6.33
1941-10-05	9	6	4	6.33	510	8.50
1941-10-06	6	5	7	6.00	470	7.83
1941-10-07	2	7	6	5.00	540	9.00
1941-10-08	1	2	7	3.33	530	8.83
1941-10-09	0	0	1	0.33	570	9.50
1941-10-10	0	1	1	0.67	570	9.50
1941-10-11	0	0	1	0.33	550	9.17
1941-10-12	0	1	1	0.67	570	9.50
1941-10-13	10	1	3	4.67	450	7.50
1941-10-14	2	1	1	1.33	570	9.50
1941-10-15	2	4	7	4.33	550	9.17
1941-10-16	1	0	5	2.00	530	8.83
1941-10-17	9	10	6	8.33	390	6.50
1941-10-18	2	4	1	2.33	540	9.00
1941-10-19	0	0	0	0.00	510	8.50
1941-10-20	1	0	4	1.67	520	8.67
1941-10-21	1	1	0	0.67	520	8.67
1941-10-22	2	5	4	3.67	540	9.00
1941-10-23	7	8	10	8.33	70	1.17
1941-10-24	9	9	4	7.33	230	3.83
1941-10-25	4	2	1	2.33	520	8.67
1941-10-26	1	0	1	0.67	600	10.00
1941-10-27	0	1	1	0.67	580	9.67
1941-10-28	0	0	0	0.00	580	9.67
1941-10-29	0	0	1	0.33	580	9.67
1941-10-30	0	0	0	0.00	600	10.00
1941-10-31	1	1	2	1.33	590	9.83
1941-11-01	0	0	1	0.33	560	9.33
1941-11-02	10	4	9	7.67	330	5.50
1941-11-03	3	4	1	2.67	570	9.50
1941-11-04	1	1	1	1.00	570	9.50
1941-11-05	4	2	3	3.00	570	9.50
1941-11-06	0	1	1	0.67	570	9.50
1941-11-07	9	7	1	5.67	260	4.33
1941-11-08	9	10	10	9.67	0	0.00
1941-11-09	10	10	5	8.33	140	2.33
1941-11-10	10	10	5	8.33	50	0.83
1941-11-11	6	9	9	8.00	350	5.83
1941-11-12	9	6	2	5.67	380	6.33
1941-11-13	9	8	2	6.33	140	2.33
1941-11-14	4	10	8	7.33	120	2.00
1941-11-15	10	10	10	10.00	0	0.00
1941-11-16	10	4	2	5.33	440	7.33
1941-11-17	4	7	2	4.33	520	8.67
1941-11-18	10	10	10	10.00	0	0.00
1941-11-19	10	10	4	8.00	80	1.33
1941-11-20	0	4	2	2.00	350	5.83
1941-11-21	0	10	10	6.67	70	1.17
1941-11-22	10	10	9	9.67	70	1.17
1941-11-23	10	8	5	7.67	490	8.17
1941-11-24	1	1	1	1.00	540	9.00
1941-11-25	0	1	1	0.67	490	8.17
1941-11-26	0	0	1	0.33	540	9.00
1941-11-27	1	8	6	5.00	330	5.50
1941-11-28	10	10	10	10.00	0	0.00
1941-11-29	1	3	1	1.67	530	8.83
1941-11-30	1	2	2	1.67	500	8.33
1941-12-01	0	0	0	0.00	520	8.67
1941-12-02	0	0	1	0.33	550	9.17
1941-12-03	5	9	3	5.67	120	2.00
1941-12-04	0	1	0	0.33	530	8.83
1941-12-05	0	1	0	0.33	520	8.67
1941-12-06	0	0	0	0.00	520	8.67
1941-12-07	10	10	10	10.00	0	0.00
1941-12-08	9	3	3	5.00	470	7.83
1941-12-09	0	0	1	0.33	530	8.83
1941-12-10	10	10	10	10.00	0	0.00
1941-12-11	10	10	6	8.67	30	0.50
1941-12-12	10	9	5	8.00	240	4.00
1941-12-13	10	10	10	10.00	0	0.00
1941-12-14	10	4	1	5.00	260	4.33
1941-12-15	10	1	1	4.00	500	8.33
1941-12-16	0	3	1	1.33	450	7.50
1941-12-17	0	1	0	0.33	460	7.67
1941-12-18	0	1	0	0.33	510	8.50
1941-12-19	0	1	0	0.33	510	8.50
1941-12-20	0	0	1	0.33	530	8.83
1941-12-21	0	0	0	0.00	430	7.17
1941-12-22	0	1	7	2.67	480	8.00
1941-12-23	4	9	9	7.33	160	2.67
1941-12-24	9	6	5	6.67	110	1.83
1941-12-25	0	1	1	0.67	420	7.00
1941-12-26	0	1	1	0.67	420	7.00
1941-12-27	10	10	10	10.00	0	0.00
1941-12-28	10	10	10	10.00	0	0.00
1941-12-29	10	10	10	10.00	0	0.00
1941-12-30	10	1	0	3.67	370	6.17
1941-12-31	0	1	0	0.33	510	8.50
1942-01-01	0	0	0	0.00	520	8.67
1942-01-02	0	0	0	0.00	520	8.67
1942-01-03	0	0	0	0.00	520	8.67
1942-01-04	0	1	3	1.33	460	7.67
1942-01-05	10	9	10	9.67	60	1.00
1942-01-06	0	2	2	1.33	520	8.67
1942-01-07	0	1	0	0.33	370	6.17
1942-01-08	0	0	0	0.00	520	8.67
1942-01-09	0	0	0	0.00	550	9.17
1942-01-10	10	10	10	10.00	0	0.00
1942-01-11	0	1	9	3.33	520	8.67
1942-01-12	1	0	2	1.00	500	8.33
1942-01-13	5	10	10	8.33	0	0.00
1942-01-14	2	2	1	1.67	460	7.67
1942-01-15	10	9	9	9.33	40	0.67
1942-01-16	4	2	1	2.33	510	8.50
1942-01-17	10	3	1	4.67	380	6.33
1942-01-18	1	1	2	1.33	520	8.67
1942-01-19	10	9	7	8.67	150	2.50
1942-01-20	10	10	10	10.00	20	0.33
1942-01-21	10	9	10	9.67	40	0.67
1942-01-22	10	8	4	7.33	170	2.83
1942-01-23	1	2	1	1.33	500	8.33
1942-01-24	5	8	5	6.00	170	2.83
1942-01-25	9	4	1	4.67	460	7.67
1942-01-26	9	9	3	7.00	140	2.33
1942-01-27	9	2	2	4.33	510	8.50
1942-01-28	10	8	1	6.33	300	5.00
1942-01-29	1	3	3	2.33	540	9.00
1942-01-30	2	6	0	2.67	580	9.67
1942-01-31	10	1	3	4.67	470	7.83
1942-02-01	3	1	1	1.67	540	9.00
1942-02-02	0	1	0	0.33	560	9.33
1942-02-03	0	0	0	0.00	580	9.67
1942-02-04	0	0	1	0.33	570	9.50
1942-02-05	1	1	3	1.67	570	9.50
1942-02-06	3	4	9	5.33	370	6.17
1942-02-07	0	3	8	3.67	410	6.83
1942-02-08	10	10	5	8.33	290	4.83
1942-02-09	8	1	0	3.00	530	8.83
1942-02-10	0	1	0	0.33	580	9.67
1942-02-11	1	6	8	5.00	350	5.83
1942-02-12	1	0	1	0.67	590	9.83
1942-02-13	0	0	0	0.00	580	9.67
1942-02-14	0	0	0	0.00	590	9.83
1942-02-15	0	0	0	0.00	600	10.00
1942-02-16	5	6	9	6.67	210	3.50
1942-02-17	3	9	5	5.67	200	3.33
1942-02-18	1	5	9	5.00	470	7.83
1942-02-19	4	10	10	8.00	30	0.50
1942-02-20	10	10	10	10.00	40	0.67
1942-02-21	10	10	8	9.33	130	2.17
1942-02-22	10	9	9	9.33	250	4.17
1942-02-23	10	9	6	8.33	80	1.33
1942-02-24	8	5	7	6.67	520	8.67
1942-02-25	1	2	2	1.67	590	9.83
1942-02-26	1	2	1	1.33	600	10.00
1942-02-27	1	1	3	1.67	580	9.67
1942-02-28	10	10	10	10.00	0	0.00
1942-03-01	9	0	8	5.67	380	6.33
1942-03-02	5	10	10	8.33	0	0.00
1942-03-03	10	10	10	10.00	0	0.00
1942-03-04	10	10	10	10.00	20	0.33
1942-03-05	10	10	9	9.67	110	1.83
1942-03-06	9	9	4	7.33	160	2.67
1942-03-07	9	4	9	7.33	440	7.33
1942-03-08	6	10	10	8.67	50	0.83
1942-03-09	8	7	5	6.67	270	4.50
1942-03-10	10	7	1	6.00	320	5.33
1942-03-11	3	2	2	2.33	460	7.67
1942-03-12	10	10	9	9.67	50	0.83
1942-03-13	8	10	9	9.00	230	3.83
1942-03-14	9	6	3	6.00	440	7.33
1942-03-15	9	9	9	9.00	270	4.50
1942-03-16	0	5	3	2.67	540	9.00
1942-03-17	10	10	9	9.67	40	0.67
1942-03-18	9	5	2	5.33	450	7.50
1942-03-19	3	9	4	5.33	200	3.33
1942-03-20	6	6	2	4.67	440	7.33
1942-03-21	6	7	10	7.67	40	0.67
1942-03-22	10	7	9	8.67	230	3.83
1942-03-23	9	10	7	8.67	100	1.67
1942-03-24	9	9	9	9.00	200	3.33
1942-03-25	10	10	10	10.00	110	1.83
1942-03-26	10	10	7	9.00	100	1.67
1942-03-27	5	7	6	6.00	260	4.33
1942-03-28	0	5	8	4.33	590	9.83
1942-03-29	10	3	2	5.00	510	8.50
1942-03-30	9	6	2	5.67	520	8.67
1942-03-31	10	6	3	6.33	520	8.67
1942-04-01	10	10	10	10.00	480	8.00
1942-04-02	9	5	4	6.00	570	9.50
1942-04-03	10	6	1	5.67	500	8.33
1942-04-04	3	8	10	7.00	340	5.67
1942-04-05	10	10	10	10.00	0	0.00
1942-04-06	10	9	10	9.67	40	0.67
1942-04-07	7	4	10	7.00	460	7.67
1942-04-08	0	1	0	0.33	630	10.50
1942-04-09	0	0	1	0.33	670	11.17
1942-04-10	0	0	1	0.33	700	11.67
1942-04-11	0	0	2	0.67	630	10.50
1942-04-12	10	10	7	9.00	220	3.67
1942-04-13	2	5	1	2.67	510	8.50
1942-04-14	5	9	8	7.33	350	5.83
1942-04-15	6	10	9	8.33	90	1.50
1942-04-16	1	3	9	4.33	420	7.00
1942-04-17	10	7	7	8.00	280	4.67
1942-04-18	10	9	5	8.00	40	0.67
1942-04-19	1	7	7	5.00	380	6.33
1942-04-20	9	10	10	9.67	140	2.33
1942-04-21	10	7	5	7.33	400	6.67
1942-04-22	1	9	10	6.67	380	6.33
1942-04-23	10	10	5	8.33	220	3.67
1942-04-24	9	8	9	8.67	320	5.33
1942-04-25	10	10	9	9.67	70	1.17
1942-04-26	3	9	10	7.33	230	3.83
1942-04-27	3	8	9	6.67	500	8.33
1942-04-28	7	9	5	7.00	300	5.00
1942-04-29	7	4	1	4.00	630	10.50
1942-04-30	8	4	9	7.00	510	8.50
1942-05-01	9	4	8	7.00	480	8.00
1942-05-02	2	4	6	4.00	670	11.17
1942-05-03	0	0	1	0.33	750	12.50
1942-05-04	1	1	1	1.00	780	13.00
1942-05-05	0	1	2	1.00	770	12.83
1942-05-06	0	1	1	0.67	770	12.83
1942-05-07	10	9	10	9.67	25	0.42
1942-05-08	6	9	2	5.67	360	6.00
1942-05-09	10	10	10	10.00	100	1.67
1942-05-10	2	9	9	6.67	510	8.50
1942-05-11	9	10	9	9.33	80	1.33
1942-05-12	8	9	8	8.33	360	6.00
1942-05-13	6	9	4	6.33	495	8.25
1942-05-14	10	6	9	8.33	435	7.25
1942-05-15	6	8	10	8.00	485	8.08
1942-05-16	8	5	4	5.67	495	8.25
1942-05-17	1	1	0	0.67	800	13.33
1942-05-18	10	5	4	6.33	690	11.50
1942-05-19	3	10	10	7.67	585	9.75
1942-05-20	1	6	2	3.00	720	12.00
1942-05-21	0	1	0	0.33	820	13.67
1942-05-22	0	1	1	0.67	815	13.58
1942-05-23	4	1	1	2.00	795	13.25
1942-05-24	6	8	7	7.00	440	7.33
1942-05-25	1	2	5	2.67	780	13.00
1942-05-26	0	3	2	1.67	810	13.50
1942-05-27	10	10	9	9.67	55	0.92
1942-05-28	10	7	3	6.67	430	7.17
1942-05-29	8	4	1	4.33	750	12.50
1942-05-30	4	0	3	2.33	780	13.00
1942-05-31	0	0	0	0.00	825	13.75
1942-06-01	0	0	0	0.00	820	13.67
1942-06-02	3	6	2	3.67	785	13.08
1942-06-03	7	7	4	6.00	755	12.58
1942-06-04	0	0	0	0.00	800	13.33
1942-06-05	0	0	0	0.00	830	13.83
1942-06-06	0	0	1	0.33	835	13.92
1942-06-07	8	8	6	7.33	310	5.17
1942-06-08	1	6	2	3.00	720	12.00
1942-06-09	10	10	9	9.67	155	2.58
1942-06-10	10	9	7	8.67	360	6.00
1942-06-11	4	10	9	7.67	290	4.83
1942-06-12	8	9	5	7.33	390	6.50
1942-06-13	3	4	1	2.67	690	11.50
1942-06-14	9	9	2	6.67	540	9.00
1942-06-15	10	1	1	4.00	655	10.92
1942-06-16	1	1	2	1.33	840	14.00
1942-06-17	10	9	5	8.00	340	5.67
1942-06-18	1	1	0	0.67	840	14.00
1942-06-19	0	0	0	0.00	870	14.50
1942-06-20	0	0	0	0.00	855	14.25
1942-06-21	0	0	1	0.33	860	14.33
1942-06-22	0	1	1	0.67	840	14.00
1942-06-23	0	1	1	0.67	830	13.83
1942-06-24	7	1	8	5.33	770	12.83
1942-06-25	10	2	0	4.00	575	9.58
1942-06-26	4	6	1	3.67	700	11.67
1942-06-27	10	1	0	3.67	585	9.75
1942-06-28	3	1	1	1.67	800	13.33
1942-06-29	0	0	0	0.00	840	14.00
1942-06-30	0	1	4	1.67	815	13.58
1942-07-01	1	1	1	1.00	780	13.00
1942-07-02	9	0	0	3.00	750	12.50
1942-07-03	0	0	0	0.00	855	14.25
1942-07-04	1	0	0	0.33	855	14.25
1942-07-05	1	6	1	2.67	810	13.50
1942-07-06	0	0	0	0.00	870	14.50
1942-07-07	0	0	0	0.00	840	14.00
1942-07-08	0	0	0	0.00	825	13.75
1942-07-09	0	1	0	0.33	845	14.08
1942-07-10	0	0	0	0.00	850	14.17
1942-07-11	0	0	0	0.00	830	13.83
1942-07-12	6	0	0	2.00	740	12.33
1942-07-13	0	0	0	0.00	840	14.00
1942-07-14	0	0	0	0.00	845	14.08
1942-07-15	0	0	0	0.00	830	13.83
1942-07-16	0	0	0	0.00	780	13.00
1942-07-17	1	0	0	0.33	505	8.42
1942-07-18	0	0	0	0.00	780	13.00
1942-07-19	0	0	0	0.00	810	13.50
1942-07-20	0	0	0	0.00	840	14.00
1942-07-21	0	0	0	0.00	820	13.67
1942-07-22	0	0	0	0.00	800	13.33
1942-07-23	0	0	0	0.00	795	13.25
1942-07-24	0	0	0	0.00	760	12.67
1942-07-25	0	0	1	0.33	780	13.00
1942-07-26	0	0	0	0.00	795	13.25
1942-07-27	0	0	0	0.00	810	13.50
1942-07-28	0	0	0	0.00	805	13.42
1942-07-29	0	0	0	0.00	800	13.33
1942-07-30	0	0	0	0.00	810	13.50
1942-07-31	3	0	0	1.00	765	12.75
1942-08-01	0	0	0	0.00	775	12.92
1942-08-02	0	0	0	0.00	790	13.17
1942-08-03	0	0	0	0.00	780	13.00
1942-08-04	1	4	5	3.33	650	10.83
1942-08-05	0	0	0	0.00	780	13.00
1942-08-06	0	0	0	0.00	780	13.00
1942-08-07	0	0	0	0.00	760	12.67
1942-08-08	0	0	0	0.00	745	12.42
1942-08-09	2	0	0	0.67	790	13.17
1942-08-10	0	0	0	0.00	770	12.83
1942-08-11	0	0	0	0.00	755	12.58
1942-08-12	0	0	0	0.00	760	12.67
1942-08-13	0	0	0	0.00	720	12.00
1942-08-14	3	1	0	1.33	710	11.83
1942-08-15	0	0	0	0.00	755	12.58
1942-08-16	0	10	1	3.67	460	7.67
1942-08-17	0	0	0	0.00	730	12.17
1942-08-18	0	0	3	1.00	750	12.50
1942-08-19	1	1	7	3.00	665	11.08
1942-08-20	2	0	3	1.67	745	12.42
1942-08-21	0	0	0	0.00	770	12.83
1942-08-22	0	0	6	2.00	720	12.00
1942-08-23	2	4	8	4.67	670	11.17
1942-08-24	4	1	1	2.00	740	12.33
1942-08-25	0	1	1	0.67	730	12.17
1942-08-26	0	0	1	0.33	745	12.42
1942-08-27	9	9	10	9.33	330	5.50
1942-08-28	10	6	8	8.00	195	3.25
1942-08-29	4	7	4	5.00	580	9.67
1942-08-30	0	0	0	0.00	745	12.42
1942-08-31	9	7	4	6.67	475	7.92
1942-09-01	2	8	8	6.00	635	10.58
1942-09-02	1	1	2	1.33	635	10.58
1942-09-03	9	1	1	3.67	555	9.25
1942-09-04	1	1	6	2.67	625	10.42
1942-09-05	1	0	2	1.00	605	10.08
1942-09-06	0	1	0	0.33	630	10.50
1942-09-07	0	9	9	6.00	460	7.67
1942-09-08	0	3	2	1.67	560	9.33
1942-09-09	0	3	2	1.67	600	10.00
1942-09-10	1	1	5	2.33	609	10.15
1942-09-11	9	9	8	8.67	150	2.50
1942-09-12	6	3	1	3.33	510	8.50
1942-09-13	0	6	9	5.00	440	7.33
1942-09-14	1	6	3	3.33	570	9.50
1942-09-15	6	7	9	7.33	365	6.08
1942-09-16	8	3	4	5.00	470	7.83
1942-09-17	6	4	9	6.33	385	6.42
1942-09-18	5	2	8	5.00	570	9.50
1942-09-19	1	1	3	1.67	595	9.92
1942-09-20	6	1	1	2.67	590	9.83
1942-09-21	3	8	10	7.00	365	6.08
1942-09-22	1	1	0	0.67	600	10.00
1942-09-23	0	0	0	0.00	600	10.00
1942-09-24	0	1	0	0.33	570	9.50
1942-09-25	4	3	2	3.00	540	9.00
1942-09-26	1	2	1	1.33	585	9.75
1942-09-27	0	1	5	2.00	580	9.67
1942-09-28	10	9	8	9.00	127	2.12
1942-09-29	10	10	10	10.00	0	0.00
1942-09-30	10	10	10	10.00	0	0.00
1942-10-01	10	6	4	6.67	270	4.50
1942-10-02	9	9	10	9.33	25	0.42
1942-10-03	10	10	7	9.00	165	2.75
1942-10-04	7	10	9	8.67	0	0.00
1942-10-05	9	9	10	9.33	205	3.42
1942-10-06	10	10	9	9.67	0	0.00
1942-10-07	6	6	9	7.00	315	5.25
1942-10-08	10	10	10	10.00	40	0.67
1942-10-09	9	5	3	5.67	405	6.75
1942-10-10	1	5	4	3.33	530	8.83
1942-10-11	6	6	1	4.33	525	8.75
1942-10-12	2	0	3	1.67	520	8.67
1942-10-13	5	1	3	3.00	570	9.50
1942-10-14	5	5	3	4.33	560	9.33
1942-10-15	1	0	1	0.67	560	9.33
1942-10-16	0	0	0	0.00	560	9.33
1942-10-17	0	0	0	0.00	518	8.63
1942-10-18	0	0	0	0.00	515	8.58
1942-10-19	0	0	1	0.33	525	8.75
1942-10-20	0	0	0	0.00	500	8.33
1942-10-21	0	0	0	0.00	510	8.50
1942-10-22	0	2	1	1.00	585	9.75
1942-10-23	0	0	0	0.00	590	9.83
1942-10-24	1	2	4	2.33	575	9.58
1942-10-25	5	5	1	3.67	540	9.00
1942-10-26	7	10	9	8.67	0	0.00
1942-10-27	4	6	7	5.67	540	9.00
1942-10-28	10	10	10	10.00	0	0.00
1942-10-29	6	9	9	8.00	350	5.83
1942-10-30	9	9	10	9.33	50	0.83
1942-10-31	8	3	5	5.33	315	5.25
1942-11-01	4	10	9	7.67	110	1.83
1942-11-02	10	9	4	7.67	290	4.83
1942-11-03	5	10	10	8.33	30	0.50
1942-11-04	10	10	10	10.00	0	0.00
1942-11-05	10	10	2	7.33	30	0.50
1942-11-06	10	9	1	6.67	145	2.42
1942-11-07	1	1	1	1.00	535	8.92
1942-11-08	3	4	1	2.67	490	8.17
1942-11-09	9	1	1	3.67	480	8.00
1942-11-10	1	1	3	1.67	515	8.58
1942-11-11	10	10	4	8.00	110	1.83
1942-11-12	9	1	1	3.67	445	7.42
1942-11-13	5	10	10	8.33	90	1.50
1942-11-14	10	4	7	7.00	345	5.75
1942-11-15	3	7	8	6.00	480	8.00
